,house_id,image,objects,probabilities
1,504,031ecec94c681e2f071d83a0b47a73201ac6a6c4.jpg,car,0.9897003769874573
2,504,031ecec94c681e2f071d83a0b47a73201ac6a6c4.jpg,car,0.8336586952209473
3,504,031ecec94c681e2f071d83a0b47a73201ac6a6c4.jpg,car,0.5367270708084106
0,505,7ae134b2089e5ee9cbb7aa5cca30e91d9593e6c8.jpg,car,0.9961270093917847
1,505,7ae134b2089e5ee9cbb7aa5cca30e91d9593e6c8.jpg,car,0.9897003769874573
2,505,7ae134b2089e5ee9cbb7aa5cca30e91d9593e6c8.jpg,car,0.8336586952209473
3,505,7ae134b2089e5ee9cbb7aa5cca30e91d9593e6c8.jpg,car,0.5367270708084106
0,506,5e4148b1b27ccb3041833c12dce7ea2e6525fed7.jpg,bird,0.9396505951881409
1,506,5e4148b1b27ccb3041833c12dce7ea2e6525fed7.jpg,person,0.8519830703735352
0,507,479982208e0f9eacc7259949e3a09eea415b9a90.jpg,bird,0.9396505951881409
1,507,479982208e0f9eacc7259949e3a09eea415b9a90.jpg,person,0.8519830703735352
0,508,06c6adaf826b55b64e5694551e63fd6208a707f9.jpg,bird,0.9396505951881409
1,508,06c6adaf826b55b64e5694551e63fd6208a707f9.jpg,person,0.8519830703735352
0,509,f6d211692afc8f932a5fdc84d9fab8df2f6d8182.jpg,bird,0.9396505951881409
1,509,f6d211692afc8f932a5fdc84d9fab8df2f6d8182.jpg,person,0.8519830703735352
0,510,1fb8d5d4d92bc9117d784c06c431733ef789db2d.jpg,bird,0.9396505951881409
1,510,1fb8d5d4d92bc9117d784c06c431733ef789db2d.jpg,person,0.8519830703735352
0,511,aa621969af5544d5abb81b00ed713b79d871dab7.jpg,car,0.9756013751029968
1,511,aa621969af5544d5abb81b00ed713b79d871dab7.jpg,car,0.9664732813835144
2,511,aa621969af5544d5abb81b00ed713b79d871dab7.jpg,car,0.8005552291870117
3,511,aa621969af5544d5abb81b00ed713b79d871dab7.jpg,car,0.7377424836158752
0,512,f79b8f863fda4bada574a3797640e66ee16d0203.jpg,car,0.9756013751029968
1,512,f79b8f863fda4bada574a3797640e66ee16d0203.jpg,car,0.9664732813835144
2,512,f79b8f863fda4bada574a3797640e66ee16d0203.jpg,car,0.8005552291870117
3,512,f79b8f863fda4bada574a3797640e66ee16d0203.jpg,car,0.7377424836158752
0,513,5fe260a896c9461e02d9dc36e32c910b869d42c5.jpg,car,0.9756013751029968
1,513,5fe260a896c9461e02d9dc36e32c910b869d42c5.jpg,car,0.9664732813835144
